Rating,Title,Review,Author,Date
5,Nice,Fantastic perfume,Gundekavya,2026-01-11T10:25:31Z
5,Love myntra ♥️,Truly amazing,NTRTAT,2026-01-10T15:10:10Z
5,Good one,Good one,Ishk g,2026-01-09T11:33:12Z
5,Itz just a wow😌,Good,Kakashi hatake0001,2026-01-09T03:49:35Z
5,Nice Dress,Perfect fit for my 23year old daughter. Really comfortable and easy to wear.,jhumur16,2026-01-07T14:52:21Z
4,Awesome jacket!,"It’s an oversized look, I usually wear S/M but ordered XS/S and it’s still big for me.",Saayduck,2026-01-06T10:12:29Z
5,Excellet,Good quality,Pushkar62,2026-01-05T15:06:27Z
5,Great shopping experience,Easy to use app with good offers and fast delivery. Product quality is nice and returns/refunds are smooth. Overall very satisfied.,Ltsanglao,2026-01-05T11:29:08Z
5,Good,5 star,Sodimella vamsi,2026-01-03T05:34:07Z
5,Great development team,"First of all I should give a kudos to developing team of the App, good selection with great filters. Easy to navigate and choose easily. Keep up the great work!!",Badchemist,2026-01-01T12:42:52Z
1,Stopped the coins,Y u guys stopped coins for myntra rewars,Lakki v1111,2025-12-31T02:14:07Z
5,Sports shoes,Excellent,Des Raj Sharma,2025-12-30T07:25:03Z
5,BP,Beautiful embroidery and finish,celebstar254,2025-12-30T04:53:24Z
5,awsome product,beautiful kurta …nice texture…soft cloth…must recommend…,anshusweety,2025-12-29T00:33:39Z
3,Good and comfy,Comfy products and good for all day wear,Tanu Khurana,2025-12-28T02:48:47Z
5,The best!!!!!,"Instead of searching on the other platforms, Simple just install Myntra for luxury and budget friendly!!!",prince4k,2025-12-27T16:06:31Z
1,Very slow,"Is it me or does this app not load at all? I’ve been trying all day, and I only have got refresh signs",milo9894,2025-12-25T11:53:26Z
5,Super offers,Sales are worth it !!,nnikunj,2025-12-25T10:12:50Z
5,Shoe,Beautiful,Varsha k gor,2025-12-25T05:33:09Z
4,jahanb,heheheg,charlesputh,2026-03-27T15:50:07Z
5,HERB DAY 356,This product was really amazing ❤️,Mercysidd,2026-03-26T14:18:40Z
5,9/10 app,"Good prices!! not higher or ripping us off !! 10/10 products & everything!!! I luv shopping on this app…makes it easier to shop by identifying my skin type, clothing size & fit, basics, etc. helps a lot!!!",Alfiya25,2026-03-25T06:56:19Z
5,Good products,I am quite impressed with the service,Mansay@987,2026-03-24T12:24:26Z
5,Slippers,Very excellent product,Dushi sufdhsk,2026-03-24T04:29:18Z
5,Very elegant and comfortable,"Lovely top, received a ton of compliments. This is my go to top when I am in a rush but want to dress up.",Indian Kurti,2026-03-22T20:15:04Z
5,L’Oréal setting spray,It’s phenomenal,Nevedtha,2026-03-22T09:17:51Z
5,Crocs,Very nice product,Gddssujhrr,2026-03-22T08:37:28Z
5,Good,Product,EliChawnghlut,2026-03-21T16:03:30Z
5,Very good kurti,Love the kurti,Aarthi Ram,2026-03-20T14:11:56Z
5,Shoe liner socks,"These socks are very comfortable to wear, go for it, thanks Myntra",AnonymousGeet,2026-03-19T20:14:57Z
5,Super,NYC😘😍,Mounichinna,2026-03-19T02:59:17Z
5,Spider-Man Tshirt,Quality and style superb,Chitti tally,2026-03-17T17:07:53Z
5,Perfect,Good quality,Connectmelokesh,2026-03-15T03:53:55Z
5,Myntra reviews,Top notch application and services,Chitraah,2026-03-14T18:48:46Z
5,Kurtas,The collection of kurtas and Kurtis are really gud,Divya tanvi,2026-03-12T16:14:45Z
5,Wow,Great,T1666GO,2026-03-11T13:51:59Z
5,Myntra,Too good,mithrraaa,2026-03-11T13:29:36Z
5,Bata Sandal for Women Review,"The Bata Black Embellished Wedge Sandals are stylish and comfortable to wear. The wedge heel gives good support, so they can be worn for a long time without much discomfort. The black colour makes them easy to match with many outfits, whether casual or slightly formal.

The small embellishment on the strap adds a nice touch and makes the sandals look elegant. The quality of the sole feels strong and durable. Overall, these sandals are a good combination of comfort and style and are great for everyday use. ⭐",Sahib720,2026-03-11T09:55:01Z
5,H&M jacket,Best it’s so comfortable,Bhatshri,2026-03-10T12:22:19Z
5,Superr,Very nice,Stylish frock,2026-06-22T08:50:05Z
5,Superb Jeans,"Jeans is absolutely soft and fits perfect, feels like cotton palazzo. Chemistry has become my fav brand for jeans.",Cheeku1987,2026-06-22T03:23:31Z
5,Excellent product,Worth the price . Quality pattern and product as per shown,Anu Mohe,2026-06-21T08:04:44Z
5,Shirt,Beautiful quality and price offered,kpk81,2026-06-21T03:28:54Z
5,Timex watch set,Nice watch set for a couple. The women’s watch bracelet looks very petty.,DhivJeg,2026-06-20T15:44:21Z
5,great app,great app,gubbala  manasa,2026-06-19T06:45:41Z
5,Best quality of products,Good quality,Buttudi,2026-06-18T10:51:32Z
5,Nice,Nice,Koli yadav,2026-06-16T09:44:22Z
5,Good lets see how it works,Gotta wait n see the results,D ngdnghnuf dwsd,2026-06-13T03:36:10Z
5,Good,Osam,Shabanam Thakur,2026-06-11T12:35:18Z
5,No competition,No one can beat on clothing and fashion product,Dr sundram,2026-06-11T01:59:10Z
5,Cash on delivery and upi payment not placed,Please help,😍😍😍😍Aijaz,2026-06-09T09:39:15Z
4,Nicee,Loveeee the appp,prosisandme,2026-06-08T20:17:06Z
5,😍❤️,😍😍,Ťhv,2026-06-08T08:00:43Z
5,Next’s regular fit tshirt,fabric is really good and soft .,Adirarin,2026-06-07T17:03:03Z
5,H,This is a good online shopping app all products is good and fast delivery,Tiluu daiya,2026-06-07T16:29:12Z
5,Awesome qualify,Best quality at affordable price by Myntra ..Keep it up👍,Abh ay,2026-06-07T10:32:09Z
5,Nice cotton Kurta set,Love the fabric and style . Very comfortable outfit,Handloom lover,2026-06-07T03:05:01Z
5,Awesome,I love to shopping from myntra,Nehanshutailor,2026-06-05T16:37:20Z
5,Good,Good,Yogi0999,2026-06-04T06:21:09Z
5,hai,hai,haijijii,2026-03-10T10:46:09Z
5,Great experience,"Great shopping experience, authentic site, you get what you see on website.",kishi101,2026-03-10T08:46:51Z
5,Myntra is amazing,I love the products myntra has to offer and even the quality is amazing and delivery time is absolutely perfect. Plus even the return and exchange policies are too good.,Pri_189,2026-03-10T07:21:37Z
5,Vibrant colors and soft fabric,"Absolutely love this cotton saree! The fabric is soft, breathable, and very comfortable to wear for long hours. The colors are gorgeous, and the plain black blouse piece complements it perfectly. I even used it for a Halloween outfit and it looked fantastic!",Meenal M.,2026-03-10T04:12:44Z
5,Super cool sober saree,Trust mynthra to receive applause,Rama Poornima,2026-03-10T02:56:56Z
5,Good,Perfect,mcjfjfjdmcjc,2026-03-09T14:43:09Z
1,App doesn’t work in the US,App doesn’t work in the United States! I’m trying to open the app and it goes into an infinite spinner loop. Neither data is loading nor I am able to send the OTP.,snehakataram,2026-03-08T11:37:56Z
5,Shopping,Very good,Nnnnmooom,2026-03-07T10:32:57Z
5,"You name it, you get it.","Myntra is like an ocean, you name it you get it. Awesome collection and awesome production.",Sireeshaaa,2026-03-06T14:23:34Z
3,Gem for shoppers,Best for shopping,Albatross081,2026-03-05T13:24:13Z
5,Good,Good,Akshu226,2026-03-04T17:48:03Z
1,Struck on login screen,Struck on requesting otp screen forever,ReviewsIOS,2026-03-01T00:12:20Z
5,H& M,Best Price and good quality,H&M top,2026-02-28T01:31:14Z
5,Badhani saree,Good quality and soft fabric,Cute girls 👧,2026-02-27T19:47:29Z
5,It’s good product,Product is good,Ri Tripathi,2026-02-27T18:48:00Z
5,Looks decent,Soft material.. nad looks classy.. must buy product..,Dhunchi,2026-02-25T15:05:53Z
5,Quality product,Very nice fit. True to size. And the quality is superb. Overall the best product,Loved shopping with Myntra,2026-02-25T12:56:37Z
5,Awesome app,Quality ek number 100% trusted,Cfhhbfdd,2026-02-24T01:03:14Z
5,Nice,Good fabric,Summer cooling,2026-02-23T09:20:44Z
5,No,Great service,Apple3399,2026-02-21T07:07:31Z
4,Little disappointed,I am very disappointed with the delivery service of this APP . I choose the payment option of COD which I find very convenient specially for people . But this APP keep canceling my order even I have spend it more then 40k RS. .. it’s so disappointing:(,SEAN9191,2026-07-16T14:03:12Z
4,Its good,Nice product,Seemsik,2026-07-16T12:32:37Z
5,Good experience,Good sopping app 👍🏻,Mahapatra subham,2026-07-14T15:16:38Z
4,Good product,"Nice material, comfortable, easygoing",tapasah,2026-07-13T04:18:46Z
1,Don’t use this app,They make us fool by cancelling the order by their side without any reason,KK@_1,2026-07-11T18:42:32Z
5,Best shopping app,Best shopping app,Ani raval,2026-07-11T02:41:17Z
5,Good,Very good,nasor_5,2026-07-10T19:53:42Z
5,Awesome products from Myntra,Awesome Branded products from Myntra,Ram Nathi,2026-07-08T15:56:27Z
5,Easy way to shop,"Good deals, easy to shop.",Neertoolate,2026-07-07T22:20:08Z
5,Product,Nice fabric,Ndjb56,2026-07-07T16:00:56Z
5,Nice,Nice aap,Vikrani,2026-07-07T07:12:01Z
5,Beautiful set,I got this set and it came on time and it lookedexactly like the picture.. very beautiful piece,PsdAps,2026-07-03T10:58:47Z
4,Size 2-3 yr,Purchased this for my toddler. So comfortable and a perfect fit.,Ant--),2026-07-01T17:14:11Z
4,Good,Doesn’t crash,srivami,2026-06-29T20:05:58Z
1,Worst company to buy products online,Worst customer service. Delivery guys take your order and mark it as delivered. Customer service representatives simple disconnect chat saying seems you are busy though they take time to response. From last 4 days trying to get hold of my order and they don’t have any clue on the order.,howdyplno,2026-06-27T06:40:35Z
5,Good,Bedt one,Kavutty,2026-06-27T00:48:52Z
5,Shopping app,Best shopping app #Reliable 😍❤️,Sakuuusrt,2026-06-26T14:44:08Z
5,Super,😍😍😍,Rinza mehak,2026-06-25T06:23:20Z
5,Blouse was excellent,Blouse was super comfortable,Hb8919,2026-06-24T08:10:57Z
5,Nautica Polo Tshirt,Excellent quality and very comfortable. Best for daily usage.,Fashionencer,2026-06-23T03:11:50Z
3,Is anyone else having this issue?,"When I select something I searched for, then go back to the search results, it scrolls all the way back to the top.",D2ML,2026-02-20T20:12:32Z
5,Dress,It was too good and correct fit,Pavani Alapati,2026-02-20T07:58:54Z
4,Good site,Genuine products based on ur criteria,bcgdf,2026-02-18T15:01:11Z
5,Myntra,It gives only original and genuine product,Namita chopra,2026-02-18T14:14:53Z
5,Excellent,Nice service lo,Aman Malek 1952,2026-02-18T07:32:41Z
5,Great Shopping App,"Easily accessible brands, great online platform for shopping.",Praks0495,2026-02-16T12:15:12Z
5,Shampoo,Good,Soujanya Gutta,2026-02-14T23:13:35Z
5,Review,App is soo good with good deals,Ishhhhhhhhajahaffagwg,2026-02-14T15:51:35Z
5,This app is exceptional,I love the outfits…all the brands are available and myntra is the platform from all we should shop,Anshika💗💗💗💗,2026-02-13T10:07:04Z
5,Lakme cream,Nice,Soniya_kh,2026-02-13T08:30:16Z
5,Lakme serum,Loved it,Kannulaado@1,2026-02-12T23:08:39Z
5,Great quality fabric,The top is of great quality. Fits as expected. Item looks exactly as pictured.,Sucheta_mu,2026-02-12T14:46:31Z
5,Awesome dress,It was a gift and this dress justified. Thanks Myntra,Chonu16,2026-02-11T16:23:36Z
5,7,Very beautiful nd very comfortable,Charu Jadon,2026-02-10T17:15:15Z
5,Very good,Perfect,guddu grewal,2026-02-08T13:14:05Z
1,Stop Rejecting * star reviews,"This app purposely rejecting and not publishing genuine reviews which are not 5 stars *****. Any review with less than 5 star are outrageously rejected, which is not fair . Lot of products are not really worth buying and user/customer would never know until they experience it if myntra continue doing this. Just shame on you Myntra",Epstienfiles,2026-02-05T23:59:20Z
1,received wrong and used product,received wrong product and used product please myntra refund me as soon as possible,hadiya jan,2026-02-05T06:22:00Z
5,Myntra is known for original brands,NA,Mahesh1177,2026-02-05T03:49:14Z
5,Good app,Very good app for purchasing products at cheap price,VJ5454,2026-01-31T13:53:24Z
3,No Dark icon,Please add dark mode icon,vishal•gupta,2026-01-30T14:44:25Z
5,Always best 👍🏼,"Products, collections, quality, delivery and return best in all … amazing service. Best app for shopping.",Da goat not CR7,2026-08-05T09:48:38Z
5,So nice dress,Love the material and style.,H A reddy,2026-08-02T18:04:28Z
1,Frustrating Signup Experience,"This is one of the most frustrating signup experiences I’ve had. Requiring both email and a verified mobile number just to order feels unnecessarily complicated. Even after signing up with my email, I’m still blocked because my number isn’t verified, so I can’t place my order. A simple email should be enough to create an account, as some services allow, so people can start shopping without extra hurdles. For example, some platforms prioritize a quick email-based signup to keep the process easy. The current friction can stop genuine customers from placing orders, which is frustrating and a missed opportunity. Please simplify the signup flow so customers can get started with just an email.",MyntraReview97,2026-08-01T19:18:30Z
5,Quality,Great,€rr,2026-07-31T15:40:11Z
5,Best App for Clothing,Best shopping App for clothing.,HRJad,2026-07-31T04:21:08Z
5,Best clothing shopping app,Very authentic app and has such a huge collection of ladies clothing at such reasonable cost. Zero charge hassle free returns. Just love the myntra app!,Flying_md,2026-07-30T04:09:55Z
5,Easy access,Myntra has been always my go to place.,ndjsjdnd,2026-07-28T23:40:19Z
1,"Wrong Products, Denied Returns, Poor Support","I had a very disappointing experience with Myntra customer support. They were unable to properly investigate or resolve my issue. I have faced problems with two different orders from the seller Livewear, where the wrong products were delivered. Despite this, my return requests were denied without a proper investigation.

Because of this, Myntra is making me bear a loss of nearly ₹6,000 for products that were not what I ordered. As a customer, I expected Myntra to trace the issue, verify the deliveries, and provide a fair resolution instead of simply rejecting the returns. Myntra should improve its customer support and ensure sellers are held accountable when they ship incorrect products.",N nxo,2026-07-28T12:44:19Z
5,I Just say wowww😉,Myntra / modern / traditional / good quality / people satisfaction ☺️.. I always like shopping in Myntra.,ovigopz,2026-07-28T01:58:24Z
5,Just wow,Myntra is the best app to buy needs and things,Sujal chetry,2026-07-28T01:14:48Z
5,Nice Indian merchandise Shopping App,Nice Indian Merchandise Shopping App with highest availability of options if you like online purchase with good return options within a week,PA1GAYA3,2026-07-27T17:51:19Z
2,Good app but loots people,Lately they seem to be looting too much out of people’s pockets in the name of platform fee. This part is Ridiculous. Rest of it is fine.,Platform fee loots people.,2026-07-24T18:12:13Z
5,😍,Meterial 🫶🏻,muhsiashi,2026-07-24T04:19:19Z
5,Filori kurta,"Color and material is good, nice kurta:)",Anumathe,2026-07-24T03:25:01Z
1,Too many extra charges,For the return every thing extra do like the app these days,KBachu,2026-07-22T15:30:45Z
5,Very high quality and wonderful service,It’s our new favorite,Debangana here,2026-07-22T08:50:40Z
5,Good product,Good product  and excellent return policy,simmi batra,2026-07-21T07:11:45Z
5,Best,Worth it,Best and worth it,2026-07-18T05:22:05Z
5,Platform of quality,Rich quality in every items,Parnibeta15,2026-07-17T07:37:22Z
5,Super fast and easy,Very very good app,vks61,2026-07-16T14:20:29Z
5,Best app,Best user friendly app,Fosssyyy,2026-04-14T16:43:54Z
5,Great app for shopping,"I have been using Myntra since ages, i have had pleasant experience till date.",Sanju vasanthakumar,2026-04-13T12:32:55Z
5,Great product,Fastest delivery great service,Rt627,2026-04-12T14:15:48Z
1,worst customer support,trying since 15 days for an undelivered parcel no one is responding properly despite  marking the query as resolved,aetchinxdbnom,2026-04-12T07:08:08Z
5,Quality,Very nice,Suofieeeee,2026-04-11T19:09:54Z
5,Co orders,Brilliant products,Tusan bathari,2026-04-11T04:44:45Z
5,Sanitary pads,Love it,Priyagautam,2026-04-10T19:03:49Z
5,Good,Excellent,PrajjuSamu,2026-04-10T04:29:46Z
5,Bano swagger,The dress fits well and the cloth quality is good,Naam Bhawana,2026-04-09T14:20:47Z
5,Great,Quality products,Biswaff,2026-04-09T09:40:22Z
5,Purchase,Excellent production,A. prathyu,2026-04-09T04:26:14Z
5,Listerine mouthwash,Excellence mouth wash. You feel fresh after each use. So refreshing!!!,saanvi sanjay,2026-04-07T07:45:48Z
5,Women dresses,Too good,Felscia,2026-04-06T04:56:27Z
5,Roshni,Nice App,Some  dude in aisia,2026-04-05T16:30:09Z
1,Not for NRI customers,"Some NRI customers prefer to shop online and have orders delivered to an Indian address. However, Myntra only allows login with an Indian mobile number and doesn’t even offer an email login option, which limits our ability to make purchases. Platforms like FirstCry, on the other hand, support international numbers (such as US mobiles), making access much easier for overseas customers.",K.Oza,2026-04-05T14:55:35Z
1,Horrible customer care service,"I made a mistake for ordering a blanket from myntra. This blanket was a complete disaster! It said single bed size and it was as good as a towel. Then comes the worst part, the customer care executive who I’ve been chatting for hours. Not helpful at all, we reached a point where in I said just take the blanket and if you do not wish to refund that’s fine too. The person didn’t care and kept on asking for different pictures and stupid questions. Such a horrible horrible customer care service. .Congrats myntra you just lost a regular customer because you couldn’t train your executives enough.",Garima Tyagi,2026-04-05T04:51:15Z
5,Superb,Nice,Rashmi Santosh Bansode,2026-04-02T06:41:03Z
5,Brilliant app,All branded stuff…,Raunaq N Kukreja,2026-03-31T18:42:16Z
5,Very good aap that we can trust,No-1 quality,Priya Somesh,2026-03-30T16:23:28Z
5,Best app ever! 🥰,"Myntra is a great app for fashion shopping with a wide range of trendy options. The interface is user-friendly, making browsing and ordering easy. Delivery is usually quick, and the quality matches expectations. I truly enjoy using this app and love the overall experience—it keeps me coming back to order again and again. Overall, a reliable and enjoyable shopping experience.",Disha Karyal,2026-03-27T18:25:56Z
4,App,Nyc app,Kirthikaaaaaaaaaaa,2026-05-07T12:59:49Z
1,Love it Myntra,"I love you Myntra . I love to purchase from you very good services , almost all things are stocked..",Luvmyn,2026-05-06T20:00:17Z
5,Best dress,Wowwww no words to describe,Hyatbillo,2026-05-06T13:23:50Z
5,Awesome,Happy with the product and service,sameer.pandya,2026-05-03T17:02:57Z
5,Great value for money,"Good fabric, good finish, great fit. Looks very good . Good value for money",Sirooco X,2026-05-03T08:01:10Z
5,Very good app to buy clothes.,Best app for online shopping,Santhoshi Indrakanti,2026-05-02T02:16:36Z
5,Good,Very nice,YoYoHoneySingh@w8,2026-04-30T02:54:04Z
5,Good,Good,….?;;,2026-04-29T09:03:10Z
1,Money taken but orders not delivered,I paid for my products and they never delivered it and now they claim that they did and I am not entitled to my rightful refund when they never delivered anything in the first place.,Niki Christianne,2026-04-28T19:15:37Z
5,Slippers,Very nice product comfortable 😍💥,Shaman manga,2026-04-23T17:11:01Z
1,Worst app and worst customer service!!! Try any other service but this,Try any other service but this this is the worst app for garments once they take your money they have no morals,JkPatilkr,2026-04-23T07:30:31Z
3,Nice,👍,shalu1130,2026-04-21T20:51:48Z
5,Gud quality,Excellent fabric,Dtjyo,2026-04-21T12:18:40Z
5,Very nice Apps for clothes 🕊️🤍,Very nice 🤌,Sufiyyy,2026-04-19T22:36:46Z
5,good quality,😍👍🏻,shikhaagr,2026-04-19T14:39:22Z
5,Great catch,"Soft cotton, gentle on the skin and extra wide. I love it",ajujj,2026-04-19T09:17:41Z
5,Shopping,Good quality,atiyaali,2026-04-16T09:44:31Z
5,Pay letar,Done,Rakhiqueen,2026-04-15T21:02:49Z
5,Indian wear,It was so good and material and color were upto the mark,Kshetrag,2026-04-15T13:10:32Z
5,fun,very nice place to shop all kinds,S P Ad,2026-04-15T08:53:10Z
5,VIP,Superb,Ap Pradhan,2025-12-02T15:35:09Z
5,Always amazing,Amazing myntra.. my go to shopping platform,@shwinipatil0,2025-11-26T18:46:06Z
4,Good,Good but please make parcel opening video. As not myntra but delivery person or some agents are doing fraud,1shru,2025-11-24T10:13:21Z
5,Wow,Good fabric and nice fit,bhandari himani,2025-11-20T15:47:50Z
5,Myntra,Good,Dressblack,2025-11-20T00:37:44Z
5,Kurta set,Awesome,Monanshi,2025-11-17T19:11:12Z
5,Very good app,Nyc app to use,Anujjhaji,2025-11-17T18:46:50Z
5,very setisfy,4.5,riddhi chavda,2025-11-17T11:29:06Z
5,To Myntra,Myntra,#sanchu!👩🏼‍💻,2025-11-15T15:27:43Z
5,.,Awesome pant,Krish kerketta,2025-11-15T06:18:22Z
5,Trolley bag,Bag quality is so good,Mahalalshmi_❤️,2025-11-14T13:48:31Z
5,V good,Osm,Hkkphh ohh fxzsf,2025-11-13T07:28:33Z
5,Review,Good quality,Neveeditha,2025-11-10T15:18:46Z
5,Best,"I'm a big fan of myntra. 
I have ordering clothes here from past 6 years & absolutely love the products they have.
Prices r soo affordable & love it.Thank u myntra",smart10sam,2025-11-10T12:21:04Z
4,My personal shop,reliable,Yusuf khan 27,2025-11-10T06:13:18Z
5,Better than others,Price is fine as quality,brar27,2025-11-10T01:22:34Z
5,Wishcare lipbalm tinted,Nice product… worth itt,Kiki & Achu,2025-11-09T14:37:21Z
5,good,food,saminnz,2025-11-06T14:16:40Z
1,Didnt place order correctly,"I placed an online order using a credit card. The order never appeared in my orders just stay in my cart. And then I’m trying to reach Customer Service because I ended up placing the order saying cash on delivery although my credit card was charged to see if they can make a changes on their backend but the help center or chat bot, I don’t know what they’re saying it’s one of the worst",Joemaya87,2025-11-06T04:00:05Z
5,Nice,Good,Rashi bhidlan,2025-11-05T17:26:31Z
4,Good quality,4,Aaru0123,2025-11-05T05:49:52Z
4,Good,Good,Meno plazzz,2025-11-05T03:39:29Z
4,Great profuct,"I exchanged with size fit issue and found it new one with great fit, good arch support, there is space to improve about arch support thats why giving one star less, else good product",priyanka_tina,2025-11-01T10:45:32Z
5,👍🏻,👍🏻,Hojaifa Rahman,2025-10-31T03:36:48Z
5,Fantastic shopping experience,On time delivery and varied variety makes it one stop shopping destination,Ayushi’s,2025-10-30T07:16:59Z
4,Very useful,Looks like Delivery time is little more.,P V Bharath Kumar,2025-10-28T23:59:50Z
5,Good 👍,Finding everything in one location enhances my satisfaction; it simplifies the process of ordering items from abroad. I am pleased.,varshaumesh naveen,2025-10-28T03:49:56Z
5,Suhail,The product quality and texture is superb. The fitting is really good. Overall a nice product for everyone who loves style and grace.,Suhail0604,2025-10-26T12:14:04Z
1,App,"Let us compare the price first, if I want to see the price of products I must download the app, if your prices are cheaper than then other suppliers of course we download the app and purchase, this is like you insist us.",+919738923279,2025-10-26T03:37:36Z
1,Never delivers,I am fed up with this app. It never delivers on time and no customer support could help me. My money got stuck and I kept waiting until I had to cancel all my orders. Timewaste and useless!,Shivanshu156,2025-10-24T14:58:07Z
5,Beautiful set,Beautiful set for any occasion. Love it!,Joykaran,2025-10-23T15:42:12Z
5,Clothes,Great! I have been using Myntra for so long now,sreosi_m,2025-10-22T17:26:55Z
5,Shopping ease,Awesome,snigdha01,2025-10-21T08:53:17Z
